CVE,pairs,exposed_past_disclosure,burden_disclosure,exposed_past_release,burden_release,median_delay_disclosure,burden_per_pair,class,pattern,severity,dependents,% of total burden
CVE-2020-11612,2,1,65.46270833333334,1,104.1871875,2.8576678240740776,32.73135416666667,Transparent,T1,Medium,88,0.02
CVE-2020-11989,8,6,1728.0229976851854,8,2079.6271759259257,174.66144097222224,216.00287471064817,Transparent,T1,High,51,0.48
CVE-2020-11995,1,1,336.0767476851852,1,513.3610069444444,336.0767476851852,336.0767476851852,Transparent,T1,High,23,0.09
CVE-2020-13692,28,28,7113.552060185185,28,7187.158356481482,111.3622511574074,254.05543072089947,Silent,S1,Medium,200,1.97
CVE-2020-13920,2,2,833.8463657407408,2,1196.0841203703703,416.9231828703704,416.9231828703704,Transparent,T1,Medium,20,0.23
CVE-2020-13933,8,8,1422.3019560185185,8,1464.9561226851852,118.66144097222222,177.7877445023148,Transparent,T1,Medium,51,0.39
CVE-2020-13936,14,11,2264.682696759259,14,2407.3502199074073,86.458125,161.76304976851853,Transparent,T1,Critical,84,0.63
CVE-2020-13941,5,5,659.5898032407408,5,896.2988310185185,127.37155092592592,131.91796064814815,Transparent,T1,Medium,14,0.18
CVE-2020-13957,5,4,518.5813888888889,5,574.3889351851851,70.37155092592593,103.71627777777778,Silent,S1,High,14,0.14
CVE-2020-1695,2,1,3.709525462962963,2,5.405775462962963,1.2749710648148147,1.8547627314814814,Silent,S1,Medium,31,0.0
CVE-2020-1745,10,2,24.294907407407408,10,259.39601851851853,-32.34973958333333,2.4294907407407407,Silent,S1,High,91,0.01
CVE-2020-17521,1,1,2.794537037037037,1,9.164143518518518,2.794537037037037,2.794537037037037,Transparent,T1,Low,111,0.0
CVE-2020-17523,8,6,1087.5850810185186,8,1132.9626273148149,43.06578125,135.94813512731483,Silent,S1,Critical,100,0.3
CVE-2020-1950,6,5,574.5146180555556,6,638.8633796296297,43.89666087962963,95.7524363425926,Silent,S1,Medium,15,0.16
CVE-2020-1951,5,5,512.6585069444444,5,569.736574074074,94.58747685185185,102.53170138888888,Silent,S1,Medium,16,0.14
