CVE_ID,dependents,upstream_GAV,severity,cvss,CWE,Link Presence,stars_count_at_commit,commits_count_at_commit,rq1_reporting,upstream_GA,rq2_class,pattern,in_analysis
CVE-2019-14837,8,org.keycloak:keycloak-services:7.0.0,Medium,6.4,CWE-798,contains links,4422.0,14037.0,Transparent,org.keycloak:keycloak-services,,,False
CVE-2019-14838,2,org.wildfly.core:wildfly-host-controller:2.0.10.Final,Medium,4.0,CWE-269,contains links,112.0,14751.0,Transparent,org.wildfly.core:wildfly-host-controller,,,False
CVE-2019-15477,47,org.jooby:jooby:1.4.0,Medium,4.3,CWE-79,contains links,969.0,2113.0,Transparent,org.jooby:jooby,,,False
CVE-2019-16771,2,com.linecorp.armeria:armeria:0.94.0,Medium,5.0,CWE-74,contains links,2152.0,2056.0,Transparent,com.linecorp.armeria:armeria,,,False
CVE-2019-16869,5,io.netty:netty-all:4.1.41.Final,Medium,5.0,CWE-444,contains links,19485.0,9501.0,Transparent,io.netty:netty-all,,,False
CVE-2019-16942,1605,com.fasterxml.jackson.core:jackson-databind:2.9.8,High,7.5,CWE-502,contains links,2086.0,5627.0,Transparent,com.fasterxml.jackson.core:jackson-databind,,,False
CVE-2019-16943,1605,com.fasterxml.jackson.core:jackson-databind:2.9.8,Medium,6.8,CWE-502,contains links,2086.0,5627.0,Transparent,com.fasterxml.jackson.core:jackson-databind,,,False
CVE-2019-17091,4,org.glassfish:jakarta.faces:2.3.9,Medium,4.3,CWE-79,contains links,41.0,168.0,Transparent,org.glassfish:jakarta.faces,,,False
CVE-2019-17359,43,org.bouncycastle:bcprov-jdk15on:1.63,Medium,5.0,CWE-770,no links,956.0,7648.0,Silent,org.bouncycastle:bcprov-jdk15on,Silent,S1,True
CVE-2019-17513,11,io.ratpack:ratpack-core:1.5.4,Medium,5.0,CWE-74,no links,1709.0,5841.0,Silent,io.ratpack:ratpack-core,,,False
CVE-2019-17554,4,org.apache.olingo:odata-server-core:4.4.0,Medium,4.3,CWE-611,no links,85.0,1806.0,Silent,org.apache.olingo:odata-server-core,,,False
CVE-2019-17558,1,org.apache.solr:solr-velocity:7.0.1,Medium,4.6,CWE-74,no links,2856.0,32628.0,Silent,org.apache.solr:solr-velocity,,,False
CVE-2019-17563,9,org.apache.tomcat:tomcat-catalina:7.0.27,Medium,5.1,CWE-384,no links,3714.0,21629.0,Silent,org.apache.tomcat:tomcat-catalina,,,False
CVE-2019-17566,1,org.apache.xmlgraphics:batik-svgrasterizer:1.12,Medium,5.0,CWE-918,contains links,93.0,3517.0,Transparent,org.apache.xmlgraphics:batik-svgrasterizer,,,False
CVE-2019-17569,5,org.apache.tomcat:tomcat-coyote:7.0.99,Medium,5.8,CWE-444,no links,3866.0,21792.0,Silent,org.apache.tomcat:tomcat-coyote,,,False
CVE-2019-17571,364,org.apache.logging.log4j:log4j-core:2.7,High,7.5,CWE-502,contains links,206.0,9027.0,Transparent,org.apache.logging.log4j:log4j-core,,,False
CVE-2019-17572,2,org.apache.rocketmq:rocketmq-broker:4.4.0,Medium,5.0,CWE-22,contains links,9084.0,5721.0,Transparent,org.apache.rocketmq:rocketmq-broker,,,False
CVE-2019-17573,8,org.apache.cxf:cxf-rt-transports-http:3.3.4,Medium,4.3,CWE-79,contains links,573.0,15380.0,Transparent,org.apache.cxf:cxf-rt-transports-http,,,False
CVE-2019-17632,12,org.eclipse.jetty:jetty-server:9.4.22.v20191022,Medium,4.3,CWE-79,contains links,2499.0,19944.0,Transparent,org.eclipse.jetty:jetty-server,Transparent,T1,True
CVE-2019-17638,23,org.eclipse.jetty:jetty-server:9.4.28.v20200408,High,7.5,CWE-672,contains links,2684.0,21035.0,Transparent,org.eclipse.jetty:jetty-server,Transparent,T1,True
CVE-2019-18393,2,org.igniterealtime.openfire:xmppserver:4.2.0,Medium,5.0,CWE-22,no links,1872.0,9061.0,Silent,org.igniterealtime.openfire:xmppserver,,,False
CVE-2019-18394,2,org.igniterealtime.openfire:xmppserver:4.2.0,High,7.5,CWE-918,no links,1872.0,9060.0,Silent,org.igniterealtime.openfire:xmppserver,,,False
CVE-2019-19343,4,org.jboss.remoting3:jboss-remoting:3.2.14.GA,Medium,5.0,CWE-404,no links,22.0,1408.0,Silent,org.jboss.remoting3:jboss-remoting,,,False
CVE-2019-20444,41,io.netty:netty-codec-http:4.1.43.Final,Medium,6.4,CWE-444,contains links,20616.0,9656.0,Transparent,io.netty:netty-codec-http,Transparent,T2,True
CVE-2019-20445,41,io.netty:netty-codec-http:4.1.43.Final,Medium,6.4,CWE-444,contains links,20639.0,9659.0,Transparent,io.netty:netty-codec-http,Transparent,T1,True
CVE-2019-25027,16,com.vaadin:flow-server:1.0.5,Medium,4.3,CWE-79,contains links,153.0,19032.0,Transparent,com.vaadin:flow-server,,,False
CVE-2019-3774,5,org.springframework.batch:spring-batch-infrastructure:4.0.1.RELEASE,High,7.5,CWE-611,no links,1046.0,5297.0,Silent,org.springframework.batch:spring-batch-infrastructure,,,False
CVE-2019-3778,29,org.springframework.security.oauth:spring-security-oauth2:2.3.4.RELEASE,Medium,6.4,CWE-601,contains links,3041.0,1253.0,Transparent,org.springframework.security.oauth:spring-security-oauth2,Transparent,T1,True
