CVE,upstream_GA,downstream_GA,downstream_repo,class,pattern,stage,after_disclosure,delay_fix,delay_release,delay_disclosure,delay_report
CVE-2019-3888,io.undertow:undertow-core,org.actframework:act,actframework/actframework,Transparent,T1,After disclosure,1,457.824375,450.92134259259257,382.1688078703704,1777.1971180555556
CVE-2019-3888,io.undertow:undertow-core,org.restheart:restheart,SoftInstigate/restheart,Transparent,T1,Safe window,0,19.31505787037037,12.412025462962964,-56.34050925925926,1338.687800925926
CVE-2019-3888,io.undertow:undertow-core,io.mangoo:mangooio-core,svenkubiak/mangooio,Transparent,T1,Safe window,0,11.24579861111111,4.342766203703704,-64.40976851851852,1330.6185416666667
CVE-2019-3888,io.undertow:undertow-core,com.networknt:graphql-common,networknt/light-graphql-4j,Transparent,T1,After disclosure,1,77.62199074074074,70.71895833333333,1.966423611111111,1396.9947337962965
CVE-2019-3888,io.undertow:undertow-core,com.networknt:swagger-security,networknt/light-rest-4j,Transparent,T1,After disclosure,1,77.62195601851852,70.71892361111111,1.966388888888889,1396.994699074074
CVE-2019-3888,io.undertow:undertow-core,de.ruedigermoeller:kontraktor-http,RuedigerMoeller/kontraktor,Transparent,T1,After disclosure,1,415.28047453703704,408.3774421296296,339.6249074074074,1734.653217592593
CVE-2018-1339,org.apache.tika:tika-parsers,org.apache.any23:apache-any23-core,apache/any23,Silent,S1,After disclosure,1,77.32445601851852,77.1050925925926,68.97543981481482,
CVE-2018-1339,org.apache.tika:tika-parsers,com.digitalpebble.stormcrawler:storm-crawler-tika,DigitalPebble/storm-crawler,Silent,S1,After disclosure,1,16.73633101851852,16.516967592592593,8.387314814814815,
CVE-2018-1339,org.apache.tika:tika-parsers,org.codelibs.fess:fess-crawler,codelibs/fess-crawler,Silent,S1,After disclosure,1,88.94869212962963,88.7293287037037,80.59967592592592,
CVE-2017-12196,io.undertow:undertow-core,com.networknt:audit,networknt/light-4j,Silent,S1,After disclosure,1,137.6170138888889,137.37252314814816,105.97607638888888,
CVE-2017-12196,io.undertow:undertow-core,com.networknt:graphql-router,networknt/light-graphql-4j,Silent,S1,After disclosure,1,137.6186574074074,137.37416666666667,105.9777199074074,
CVE-2017-12196,io.undertow:undertow-core,io.jboot:jboot,yangfuhai/jboot,Silent,S1,Safe window,0,3.912824074074074,3.6683333333333334,-27.72811342592593,
CVE-2017-12196,io.undertow:undertow-core,io.mangoo:mangooio-core,svenkubiak/mangooio,Silent,S1,Safe window,0,2.9027314814814815,2.658240740740741,-28.73820601851852,
CVE-2017-12196,io.undertow:undertow-core,com.networknt:rpc-security,networknt/light-hybrid-4j,Silent,S1,After disclosure,1,137.61927083333333,137.3747800925926,105.97833333333334,
CVE-2017-12196,io.undertow:undertow-core,com.networknt:swagger-validator,networknt/light-rest-4j,Silent,S1,After disclosure,1,137.6180439814815,137.37355324074073,105.97710648148148,
CVE-2017-12196,io.undertow:undertow-core,org.actframework:act,actframework/actframework,Silent,S1,After disclosure,1,53.53109953703704,53.2866087962963,21.890162037037037,
CVE-2016-1182,struts:struts,net.anotheria:moskito-web,anotheria/moskito,Silent,S1,After disclosure,1,1639.1244560185185,1639.1244560185185,1613.609525462963,
