CVE_ID,G:A:V,downstream_GA
CVE-2022-23596,com.github.junrar:junrar:0.7,com.github.rapidark:rapid-ark-framework
CVE-2022-23596,com.github.junrar:junrar:0.7,com.github.rapidark:rapid-ark-framework-ext
CVE-2022-23596,com.github.junrar:junrar:0.7,com.github.rapidark:rapid-ark-platform
CVE-2022-23596,com.github.junrar:junrar:0.7,com.github.rapidark:rapid-ark-preloader
CVE-2022-23596,com.github.junrar:junrar:0.7,com.github.rapidark:rapid-ark-pretty
CVE-2022-23596,com.github.junrar:junrar:0.7,com.github.rapidark:rapid-ark-pretty-demo
CVE-2022-23596,com.github.junrar:junrar:0.7,com.github.rapidark:rapid-ark-pretty-demo-keeper
CVE-2022-23596,com.github.junrar:junrar:0.7,com.github.rapidark:rapid-ark-processor
CVE-2022-23596,com.github.junrar:junrar:0.7,com.github.rapidark:rapid-ark-product
CVE-2022-23596,com.github.junrar:junrar:0.7,de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.api.datasets-asl
CVE-2022-23596,com.github.junrar:junrar:0.7,io.github.emsoft:scalut-misc_2.11
CVE-2022-23596,com.github.junrar:junrar:0.7,io.github.emsoft:scalut-misc_2.12
CVE-2022-23596,com.github.junrar:junrar:0.7,io.leopard:leopard-util
CVE-2022-23596,com.github.junrar:junrar:0.7,org.codelibs.fess:fess-crawler
CVE-2022-23596,com.github.junrar:junrar:0.7,org.oiue:tools
CVE-2022-23596,com.github.junrar:junrar:0.7,org.whitesource:whitesource-fs-agent
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,biz.gabrys.maven.plugins:directory-content-maven-plugin
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,cn.geminis:geminis-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,cn.wjee.boot:wjee-spring-boot-autoconfigure
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,cn.yioks.gitlab.core:springboot-common
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.almis.awe:awe-model
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.anrisoftware.propertiesutils:propertiesutils-contextproperties
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.btc-ag.redg:redg-generator
