repo,repo_url,mined_at_utc,mining_status,error_type,error_message,has_dependabot_pr,first_dependabot_pr_date,first_dependabot_pr_url,first_dependabot_pr_number,first_dependabot_pr_author,first_dependabot_pr_title,first_dependabot_pr_query_author,dependabot_pr_search_queries,has_dependabot_config,dependabot_config_path,dependabot_config_created_date,dependabot_config_created_sha,dependabot_config_created_url,dependabot_config_created_message
eclipse-ee4j/glassfish,https://github.com/eclipse-ee4j/glassfish,2026-08-14T17:36:05.009184+00:00,ok,,,True,2022-02-01T08:29:53Z,https://github.com/eclipse-ee4j/glassfish/pull/23775,23775,dependabot,Bump httpclient from 4.3.3 to 4.5.13 in /appserver/admingui/devtests,app/dependabot,repo:eclipse-ee4j/glassfish is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:eclipse-ee4j/glassfish is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:eclipse-ee4j/glassfish is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:eclipse-ee4j/glassfish is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
eclipse/deeplearning4j,https://github.com/eclipse/deeplearning4j,2026-08-14T17:36:11.797062+00:00,ok,,,False,,,,,,,repo:eclipse/deeplearning4j is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:eclipse/deeplearning4j is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:eclipse/deeplearning4j is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:eclipse/deeplearning4j is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
eclipse/hono,https://github.com/eclipse/hono,2026-08-14T17:36:20.945947+00:00,ok,,,False,,,,,,,repo:eclipse/hono is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:eclipse/hono is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:eclipse/hono is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:eclipse/hono is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
egetman/jes,https://github.com/egetman/jes,2026-08-14T17:36:29.062870+00:00,ok,,,True,2019-11-13T09:09:43Z,https://github.com/egetman/jes/pull/9,9,dependabot,Bump jackson-databind from 2.9.10 to 2.9.10.1,app/dependabot,repo:egetman/jes is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:egetman/jes is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:egetman/jes is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:egetman/jes is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
egzosn/pay-java-parent,https://github.com/egzosn/pay-java-parent,2026-08-14T17:36:36.674823+00:00,ok,,,True,2020-01-07T02:49:58Z,https://github.com/egzosn/pay-java-parent/pull/48,48,dependabot,Bump jackson-databind from 2.9.10 to 2.9.10.1 in /pay-java-demo,app/dependabot,repo:egzosn/pay-java-parent is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:egzosn/pay-java-parent is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:egzosn/pay-java-parent is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:egzosn/pay-java-parent is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
ehrbase/ehrbase,https://github.com/ehrbase/ehrbase,2026-08-14T17:36:42.485736+00:00,ok,,,True,2019-11-13T12:31:14Z,https://github.com/ehrbase/ehrbase/pull/38,38,dependabot,Bump jackson-databind from 2.9.7 to 2.9.10.1 in /serialisation,app/dependabot,repo:ehrbase/ehrbase is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:ehrbase/ehrbase is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:ehrbase/ehrbase is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:ehrbase/ehrbase is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,True,.github/dependabot.yml,2023-03-28T08:42:32Z,7cacef0de3c705c336cd8bdac19dc152e29dc5de,https://github.com/ehrbase/ehrbase/commit/7cacef0de3c705c336cd8bdac19dc152e29dc5de,Create dependabot.yml
eirslett/frontend-maven-plugin,https://github.com/eirslett/frontend-maven-plugin,2026-08-14T17:36:49.586783+00:00,ok,,,True,2020-10-13T06:39:18Z,https://github.com/eirslett/frontend-maven-plugin/pull/936,936,dependabot,Bump junit from 4.13 to 4.13.1 in /frontend-plugin-core,app/dependabot,repo:eirslett/frontend-maven-plugin is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:eirslett/frontend-maven-plugin is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:eirslett/frontend-maven-plugin is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:eirslett/frontend-maven-plugin is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
electronicarts/ea-async,https://github.com/electronicarts/ea-async,2026-08-14T17:36:56.589792+00:00,ok,,,True,2020-10-13T00:30:11Z,https://github.com/electronicarts/ea-async/pull/53,53,dependabot,Bump junit from 4.12 to 4.13.1,app/dependabot,repo:electronicarts/ea-async is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:electronicarts/ea-async is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:electronicarts/ea-async is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:electronicarts/ea-async is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
englishtown/vertx-mod-elasticsearch,https://github.com/englishtown/vertx-mod-elasticsearch,2026-08-14T17:37:02.529695+00:00,ok,,,False,,,,,,,repo:englishtown/vertx-mod-elasticsearch is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:englishtown/vertx-mod-elasticsearch is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:englishtown/vertx-mod-elasticsearch is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:englishtown/vertx-mod-elasticsearch is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
enioka/jqm,https://github.com/enioka/jqm,2026-08-14T17:37:11.269379+00:00,ok,,,False,,,,,,,repo:enioka/jqm is:pr author:app/dependabot created:>=2017-01-01 sort:created-asc | repo:enioka/jqm is:pr author:app/dependabot-preview created:>=2017-01-01 sort:created-asc | repo:enioka/jqm is:pr author:dependabot[bot] created:>=2017-01-01 sort:created-asc | repo:enioka/jqm is:pr author:dependabot-preview[bot] created:>=2017-01-01 sort:created-asc,False,,,,,
