repo,repo_url,mined_at_utc,mining_status,error_type,error_message
OpenAS2/OpenAs2App,https://github.com/OpenAS2/OpenAs2App,2026-08-14T16:55:53.684958+00:00,error,HTTPError,HTTP Error 401: Unauthorized
OpenSextant/Xponents,https://github.com/OpenSextant/Xponents,2026-08-14T16:55:53.944730+00:00,error,HTTPError,HTTP Error 401: Unauthorized
OrbitzWorldwide/consul-client,https://github.com/OrbitzWorldwide/consul-client,2026-08-14T16:55:54.100626+00:00,error,HTTPError,HTTP Error 401: Unauthorized
OrderOfTheBee/ootbee-support-tools,https://github.com/OrderOfTheBee/ootbee-support-tools,2026-08-14T16:55:54.373171+00:00,error,HTTPError,HTTP Error 401: Unauthorized
OrienteerBAP/Orienteer,https://github.com/OrienteerBAP/Orienteer,2026-08-14T16:55:54.738193+00:00,error,HTTPError,HTTP Error 401: Unauthorized
OxalisCommunity/oxalis,https://github.com/OxalisCommunity/oxalis,2026-08-14T16:55:54.991039+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Pay-Group/best-pay-sdk,https://github.com/Pay-Group/best-pay-sdk,2026-08-14T16:55:55.402434+00:00,error,HTTPError,HTTP Error 401: Unauthorized
PennState/commons-jaxrs,https://github.com/PennState/commons-jaxrs,2026-08-14T16:55:55.806918+00:00,error,HTTPError,HTTP Error 401: Unauthorized
PgBulkInsert/PgBulkInsert,https://github.com/PgBulkInsert/PgBulkInsert,2026-08-14T16:55:56.038261+00:00,error,HTTPError,HTTP Error 401: Unauthorized
RIPE-NCC/rpki-commons,https://github.com/RIPE-NCC/rpki-commons,2026-08-14T16:55:56.444351+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Red5/red5-websocket,https://github.com/Red5/red5-websocket,2026-08-14T16:55:56.793802+00:00,error,HTTPError,HTTP Error 401: Unauthorized
RedCA-Family/code-analyst,https://github.com/RedCA-Family/code-analyst,2026-08-14T16:55:56.957504+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Relucent/yyl-base-lib,https://github.com/Relucent/yyl-base-lib,2026-08-14T16:55:57.441341+00:00,error,HTTPError,HTTP Error 401: Unauthorized
RockyLOMO/rxlib,https://github.com/RockyLOMO/rxlib,2026-08-14T16:55:57.789514+00:00,error,HTTPError,HTTP Error 401: Unauthorized
RuedigerMoeller/kontraktor,https://github.com/RuedigerMoeller/kontraktor,2026-08-14T16:55:57.954361+00:00,error,HTTPError,HTTP Error 401: Unauthorized
SANSA-Stack/SANSA-OWL,https://github.com/SANSA-Stack/SANSA-OWL,2026-08-14T16:55:58.312722+00:00,error,HTTPError,HTTP Error 401: Unauthorized
ServiceComb/java-chassis,https://github.com/ServiceComb/java-chassis,2026-08-14T16:55:58.660502+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Sila-Money/sila-sdk-java,https://github.com/Sila-Money/sila-sdk-java,2026-08-14T16:55:58.941363+00:00,error,HTTPError,HTTP Error 401: Unauthorized
SimonAlong/Neo,https://github.com/SimonAlong/Neo,2026-08-14T16:55:59.184529+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Smartling/api-sdk-java,https://github.com/Smartling/api-sdk-java,2026-08-14T16:55:59.711475+00:00,error,HTTPError,HTTP Error 401: Unauthorized
SoftInstigate/restheart,https://github.com/SoftInstigate/restheart,2026-08-14T16:55:59.886798+00:00,error,HTTPError,HTTP Error 401: Unauthorized
SonarCommunity/sonar-php,https://github.com/SonarCommunity/sonar-php,2026-08-14T16:56:00.045545+00:00,error,HTTPError,HTTP Error 401: Unauthorized
SonarSource/orchestrator,https://github.com/SonarSource/orchestrator,2026-08-14T16:56:00.284243+00:00,error,HTTPError,HTTP Error 401: Unauthorized
SonarSource/sonar-findbugs,https://github.com/SonarSource/sonar-findbugs,2026-08-14T16:56:00.450854+00:00,error,HTTPError,HTTP Error 401: Unauthorized
SparkTC/stocator,https://github.com/SparkTC/stocator,2026-08-14T16:56:00.615030+00:00,error,HTTPError,HTTP Error 401: Unauthorized
SpringSource/spring-ldap,https://github.com/SpringSource/spring-ldap,2026-08-14T16:56:00.861994+00:00,error,HTTPError,HTTP Error 401: Unauthorized
SuperScorpion/medusa,https://github.com/SuperScorpion/medusa,2026-08-14T16:56:01.047490+00:00,error,HTTPError,HTTP Error 401: Unauthorized
TNG/config-builder,https://github.com/TNG/config-builder,2026-08-14T16:56:01.281823+00:00,error,HTTPError,HTTP Error 401: Unauthorized
TheBlackChamber/commons-encryption,https://github.com/TheBlackChamber/commons-encryption,2026-08-14T16:56:01.467678+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Tirasa/ConnIdSOAPBundle,https://github.com/Tirasa/ConnIdSOAPBundle,2026-08-14T16:56:01.631972+00:00,error,HTTPError,HTTP Error 401: Unauthorized
UweTrottmann/thetvdb-java,https://github.com/UweTrottmann/thetvdb-java,2026-08-14T16:56:01.859266+00:00,error,HTTPError,HTTP Error 401: Unauthorized
UweTrottmann/tmdb-java,https://github.com/UweTrottmann/tmdb-java,2026-08-14T16:56:02.044106+00:00,error,HTTPError,HTTP Error 401: Unauthorized
UweTrottmann/trakt-java,https://github.com/UweTrottmann/trakt-java,2026-08-14T16:56:02.227255+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Waffle/waffle,https://github.com/Waffle/waffle,2026-08-14T16:56:02.445174+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Wikidata/Wikidata-Toolkit,https://github.com/Wikidata/Wikidata-Toolkit,2026-08-14T16:56:02.614876+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Xceptance/XLT,https://github.com/Xceptance/XLT,2026-08-14T16:56:02.854762+00:00,error,HTTPError,HTTP Error 401: Unauthorized
XenoAmess/docker-client,https://github.com/XenoAmess/docker-client,2026-08-14T16:56:03.026078+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Zandero/rest.vertx,https://github.com/Zandero/rest.vertx,2026-08-14T16:56:03.195603+00:00,error,HTTPError,HTTP Error 401: Unauthorized
Zlika/reproducible-build-maven-plugin,https://github.com/Zlika/reproducible-build-maven-plugin,2026-08-14T16:56:03.423904+00:00,error,HTTPError,HTTP Error 401: Unauthorized
aQute-os/biz.aQute.openapi,https://github.com/aQute-os/biz.aQute.openapi,2026-08-14T16:56:03.586531+00:00,error,HTTPError,HTTP Error 401: Unauthorized
acegi/xml-format-maven-plugin,https://github.com/acegi/xml-format-maven-plugin,2026-08-14T16:56:03.773047+00:00,error,HTTPError,HTTP Error 401: Unauthorized
actframework/actframework,https://github.com/actframework/actframework,2026-08-14T16:56:04.009556+00:00,error,HTTPError,HTTP Error 401: Unauthorized
aerogear/aerogear-unifiedpush-server,https://github.com/aerogear/aerogear-unifiedpush-server,2026-08-14T16:56:04.172760+00:00,error,HTTPError,HTTP Error 401: Unauthorized
aerospike/aerospike-client-java,https://github.com/aerospike/aerospike-client-java,2026-08-14T16:56:04.334016+00:00,error,HTTPError,HTTP Error 401: Unauthorized
airlift/airlift,https://github.com/airlift/airlift,2026-08-14T16:56:04.579256+00:00,error,HTTPError,HTTP Error 401: Unauthorized
aktin/broker,https://github.com/aktin/broker,2026-08-14T16:56:04.750297+00:00,error,HTTPError,HTTP Error 401: Unauthorized
alexcojocaru/elasticsearch-maven-plugin,https://github.com/alexcojocaru/elasticsearch-maven-plugin,2026-08-14T16:56:05.014288+00:00,error,HTTPError,HTTP Error 401: Unauthorized
alexxiyang/shiro-redis,https://github.com/alexxiyang/shiro-redis,2026-08-14T16:56:05.168829+00:00,error,HTTPError,HTTP Error 401: Unauthorized
algolia/algoliasearch-client-java-2,https://github.com/algolia/algoliasearch-client-java-2,2026-08-14T16:56:05.333615+00:00,error,HTTPError,HTTP Error 401: Unauthorized
alibaba/Sentinel,https://github.com/alibaba/Sentinel,2026-08-14T16:56:05.580051+00:00,error,HTTPError,HTTP Error 401: Unauthorized
alibaba/canal,https://github.com/alibaba/canal,2026-08-14T16:56:05.747561+00:00,error,HTTPError,HTTP Error 401: Unauthorized
alibaba/druid,https://github.com/alibaba/druid,2026-08-14T16:56:05.909232+00:00,error,HTTPError,HTTP Error 401: Unauthorized
alluxio/alluxio,https://github.com/alluxio/alluxio,2026-08-14T16:56:06.154192+00:00,error,HTTPError,HTTP Error 401: Unauthorized
almex/Raildelays,https://github.com/almex/Raildelays,2026-08-14T16:56:06.321906+00:00,error,HTTPError,HTTP Error 401: Unauthorized
americanexpress/synapse,https://github.com/americanexpress/synapse,2026-08-14T16:56:06.572376+00:00,error,HTTPError,HTTP Error 401: Unauthorized
annot8/annot8-components,https://github.com/annot8/annot8-components,2026-08-14T16:56:06.745933+00:00,error,HTTPError,HTTP Error 401: Unauthorized
anotheria/ano-util,https://github.com/anotheria/ano-util,2026-08-14T16:56:06.908803+00:00,error,HTTPError,HTTP Error 401: Unauthorized
anotheria/moskito,https://github.com/anotheria/moskito,2026-08-14T16:56:07.178605+00:00,error,HTTPError,HTTP Error 401: Unauthorized
aoju/bus,https://github.com/aoju/bus,2026-08-14T16:56:07.340862+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/airavata,https://github.com/apache/airavata,2026-08-14T16:56:07.572942+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/any23,https://github.com/apache/any23,2026-08-14T16:56:07.741119+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/avro,https://github.com/apache/avro,2026-08-14T16:56:07.901479+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/bookkeeper,https://github.com/apache/bookkeeper,2026-08-14T16:56:08.148960+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/flink,https://github.com/apache/flink,2026-08-14T16:56:08.322848+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/incubator-dubbo,https://github.com/apache/incubator-dubbo,2026-08-14T16:56:08.480404+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/incubator-nlpcraft,https://github.com/apache/incubator-nlpcraft,2026-08-14T16:56:08.727020+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/incubator-plc4x,https://github.com/apache/incubator-plc4x,2026-08-14T16:56:08.906521+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/juneau,https://github.com/apache/juneau,2026-08-14T16:56:09.145063+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/openmeetings,https://github.com/apache/openmeetings,2026-08-14T16:56:09.327278+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/parquet-mr,https://github.com/apache/parquet-mr,2026-08-14T16:56:09.502264+00:00,error,HTTPError,HTTP Error 401: Unauthorized
apache/plc4x,https://github.com/apache/plc4x,2026-08-14T16:56:09.719061+00:00,error,HTTPError,HTTP Error 401: Unauthorized
