repo,repo_url,uses_dependabot_ever,dependabot_usage_type_ever,dependabot_lifecycle,security_first_version_later_ever,has_dependabot_pr,first_dependabot_pr_date,first_dependabot_pr_url,first_dependabot_pr_number,first_dependabot_pr_author,first_dependabot_pr_title,has_dependabot_config,dependabot_config_path,dependabot_config_created_date,dependabot_config_created_sha,dependabot_config_created_url,days_security_to_version,mined_at_utc
wultra/powerauth-cmd-tool,https://github.com/wultra/powerauth-cmd-tool,True,both_security_and_version_updates,security_then_version,True,True,2020-10-13T06:38:39Z,https://github.com/wultra/powerauth-cmd-tool/pull/174,174.0,dependabot,Bump junit from 4.13 to 4.13.1 in /powerauth-java-cmd-lib,True,.github/dependabot.yml,2023-02-21T06:16:02Z,20a1e15b697d3458500ed6afdfc9d025ef6957c5,https://github.com/wultra/powerauth-cmd-tool/commit/20a1e15b697d3458500ed6afdfc9d025ef6957c5,860.9842939814815,2026-08-14T18:27:56.205583+00:00
wultra/powerauth-crypto,https://github.com/wultra/powerauth-crypto,True,both_security_and_version_updates,security_then_version,True,True,2020-10-13T06:49:05Z,https://github.com/wultra/powerauth-crypto/pull/344,344.0,dependabot,Bump junit from 4.13 to 4.13.1 in /powerauth-java-crypto,True,.github/dependabot.yml,2023-04-26T05:40:14Z,ddf95257c8766f9ae1e04318d7f0896e7d1f42bb,https://github.com/wultra/powerauth-crypto/commit/ddf95257c8766f9ae1e04318d7f0896e7d1f42bb,924.9521875,2026-08-14T18:28:03.079354+00:00
wultra/powerauth-push-server,https://github.com/wultra/powerauth-push-server,True,both_security_and_version_updates,version_then_security,False,True,2023-03-22T05:39:29Z,https://github.com/wultra/powerauth-push-server/pull/590,590.0,dependabot,Bump maven-enforcer-plugin from 3.1.0 to 3.2.1,True,.github/dependabot.yml,2023-03-21T13:58:57Z,d66e4a803f3420978db4d4a51d9f5a2497e6f021,https://github.com/wultra/powerauth-push-server/commit/d66e4a803f3420978db4d4a51d9f5a2497e6f021,,2026-08-14T18:28:10.988663+00:00
wz2cool/mybatis-dynamic-query,https://github.com/wz2cool/mybatis-dynamic-query,True,security_updates_only,security_only_ever,False,True,2019-11-13T05:57:24Z,https://github.com/wz2cool/mybatis-dynamic-query/pull/29,29.0,dependabot,Bump jackson-databind from 2.9.9 to 2.9.10.1,False,,,,,,2026-08-14T18:28:19.074811+00:00
x-stream/xsite,https://github.com/x-stream/xsite,True,security_updates_only,security_only_ever,False,True,2020-06-30T22:59:17Z,https://github.com/x-stream/xsite/pull/6,6.0,dependabot,Bump xstream from 1.4.9 to 1.4.10-java7,False,,,,,,2026-08-14T18:28:25.593625+00:00
xcesco/kripton,https://github.com/xcesco/kripton,True,security_updates_only,security_only_ever,False,True,2020-10-12T20:10:13Z,https://github.com/xcesco/kripton/pull/65,65.0,dependabot,Bump junit from 4.12 to 4.13.1 in /kripton-orm,False,,,,,,2026-08-14T18:28:32.151936+00:00
xixifeng/fastquery,https://github.com/xixifeng/fastquery,True,security_updates_only,security_only_ever,False,True,2020-10-13T06:38:29Z,https://github.com/xixifeng/fastquery/pull/2,2.0,dependabot,Bump junit from 4.12 to 4.13.1,False,,,,,,2026-08-14T18:28:37.701667+00:00
xresch/CoreFramework,https://github.com/xresch/CoreFramework,True,security_updates_only,security_only_ever,False,True,2020-08-06T09:03:04Z,https://github.com/xresch/CoreFramework/pull/1,1.0,dependabot,Bump jettyVersion from 9.4.15.v20190215 to 9.4.31.v20200723,False,,,,,,2026-08-14T18:28:45.368217+00:00
xtuhcy/gecco,https://github.com/xtuhcy/gecco,True,security_updates_only,security_only_ever,False,True,2021-03-31T20:30:11Z,https://github.com/xtuhcy/gecco/pull/99,99.0,dependabot,Bump guava from 27.0.1-jre to 29.0-jre,False,,,,,,2026-08-14T18:28:50.985013+00:00
yahoojapan/yosegi,https://github.com/yahoojapan/yosegi,True,security_updates_only,security_only_ever,False,True,2019-11-13T08:58:17Z,https://github.com/yahoojapan/yosegi/pull/92,92.0,dependabot,Bump jackson-databind from 2.9.10 to 2.9.10.1,False,,,,,,2026-08-14T18:28:57.042964+00:00
yakaz/elasticsearch-action-updatebyquery,https://github.com/yakaz/elasticsearch-action-updatebyquery,False,not_using_dependabot,never_detected,False,False,,,,,,False,,,,,,2026-08-14T18:29:04.076724+00:00
yangfuhai/jboot,https://github.com/yangfuhai/jboot,True,security_updates_only,security_only_ever,False,True,2020-02-04T23:32:43Z,https://github.com/yangfuhai/jboot/pull/80,80.0,dependabot,Bump shiro-core from 1.3.2 to 1.4.2,False,,,,,,2026-08-14T18:29:09.883545+00:00
yegor256/takes,https://github.com/yegor256/takes,True,security_updates_only,security_only_ever,False,True,2022-11-14T21:19:54Z,https://github.com/yegor256/takes/pull/1180,1180.0,dependabot,Bump commons-text from 1.9 to 1.10.0,False,,,,,,2026-08-14T18:29:16.646557+00:00
yholkamp/jadmin,https://github.com/yholkamp/jadmin,True,security_updates_only,security_only_ever,False,True,2020-05-21T21:10:35Z,https://github.com/yholkamp/jadmin/pull/7,7.0,dependabot,Bump htmlunit from 2.35.0 to 2.37.0,False,,,,,,2026-08-14T18:29:22.709279+00:00
yildiz-online/module-database-postgresql,https://github.com/yildiz-online/module-database-postgresql,True,both_security_and_version_updates,security_then_version,True,True,2018-11-19T04:22:25Z,https://github.com/yildiz-online/module-database-postgresql/pull/1,1.0,dependabot-preview,Bump parent from 2.2.2 to 2.2.4,True,.github/dependabot.yml,2020-07-17T08:37:13Z,4af31b6f9b0f25d3c8544fc63449bcb807c64b67,https://github.com/yildiz-online/module-database-postgresql/commit/4af31b6f9b0f25d3c8544fc63449bcb807c64b67,606.1769444444444,2026-08-14T18:29:28.366578+00:00
yupiik/tools-maven-plugin,https://github.com/yupiik/tools-maven-plugin,True,security_updates_only,security_only_ever,False,True,2021-08-23T21:31:34Z,https://github.com/yupiik/tools-maven-plugin/pull/4,4.0,dependabot,Bump jsoup from 1.13.1 to 1.14.2 in /minisite-core,False,,,,,,2026-08-14T18:29:35.696026+00:00
yusuke/twitter4j,https://github.com/yusuke/twitter4j,False,not_using_dependabot,never_detected,False,False,,,,,,False,,,,,,2026-08-14T18:29:42.906996+00:00
zalando-nakadi/fahrschein,https://github.com/zalando-nakadi/fahrschein,True,security_updates_only,security_only_ever,False,True,2020-10-13T08:15:48Z,https://github.com/zalando-nakadi/fahrschein/pull/242,242.0,dependabot,Bump junit from 4.12 to 4.13.1 in /fahrschein-test-support,False,,,,,,2026-08-14T18:29:51.422946+00:00
zalando/jackson-datatype-money,https://github.com/zalando/jackson-datatype-money,True,both_security_and_version_updates,security_then_version,True,True,2018-05-14T07:14:58Z,https://github.com/zalando/jackson-datatype-money/pull/85,85.0,dependabot-preview,Bump org.apache.maven.plugins:maven-surefire-plugin from 2.19.1 to 2.21.0,True,.github/dependabot.yml,2021-05-03T08:50:45Z,d7e52e2733e17edb138965c159ac1494d2a18f77,https://github.com/zalando/jackson-datatype-money/commit/d7e52e2733e17edb138965c159ac1494d2a18f77,1085.0665162037037,2026-08-14T18:29:58.116704+00:00
zalando/logbook,https://github.com/zalando/logbook,True,both_security_and_version_updates,security_then_version,True,True,2018-05-14T07:16:50Z,https://github.com/zalando/logbook/pull/238,238.0,dependabot-preview,Bump org.zalando:faux-pas from 0.3.1 to 0.7.0,True,.github/dependabot.yml,2021-05-03T08:48:51Z,4e2a3b7f307a6e7c720a6f1b8a6de820d08f47d0,https://github.com/zalando/logbook/commit/4e2a3b7f307a6e7c720a6f1b8a6de820d08f47d0,1085.063900462963,2026-08-14T18:30:05.724602+00:00
