CVE,UPSTREAM G:A:V,DOWNSTREAM G:A:V,DOWNSTREAM REPO,COMMIT,COMMIT_DATE,COMMIT_DATE_ERROR,GITHUB_REPO_PARSED,COMMIT_SHA_PARSED,COMMIT_URL_PARSED
CVE-2019-5427,com.mchange:c3p0,net.centro.rtb:monitoring-center,centro/monitoring-center,https://github.com/centro/monitoring-center/commit/7524d36e5111fe42435a7fd29ba64b247b866b58,,404_not_found,centro/monitoring-center,7524d36e5111fe42435a7fd29ba64b247b866b58,https://github.com/centro/monitoring-center/commit/7524d36e5111fe42435a7fd29ba64b247b866b58
CVE-2017-2670,io.undertow:undertow-core,com.networknt:oauth2-cache,networknt/light-oauth2,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e,,404_not_found,networknt/light-oauth2,78368e5652ef7205a05c42e699df1b6e38764b4e,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e
CVE-2017-2670,io.undertow:undertow-core,com.networknt:light-router,networknt/light-router,https://github.com/networknt/light-router/commit/8f20d9896ae73c7fbdd83723391f55e08cb8a910,,404_not_found,networknt/light-router,8f20d9896ae73c7fbdd83723391f55e08cb8a910,https://github.com/networknt/light-router/commit/8f20d9896ae73c7fbdd83723391f55e08cb8a910
CVE-2017-2670,io.undertow:undertow-core,com.networknt:light-proxy,networknt/light-proxy,https://github.com/networknt/light-proxy/commit/6388297c7bdcd800ee6608e50585f182869ad3fe,,404_not_found,networknt/light-proxy,6388297c7bdcd800ee6608e50585f182869ad3fe,https://github.com/networknt/light-proxy/commit/6388297c7bdcd800ee6608e50585f182869ad3fe
CVE-2017-2670,io.undertow:undertow-core,com.networknt:oauth2-cache,networknt/light-oauth2,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e,,404_not_found,networknt/light-oauth2,78368e5652ef7205a05c42e699df1b6e38764b4e,https://github.com/networknt/light-oauth2/commit/78368e5652ef7205a05c42e699df1b6e38764b4e
CVE-2017-2670,io.undertow:undertow-core,com.networknt:light-router,networknt/light-router,https://github.com/networknt/light-router/commit/8f20d9896ae73c7fbdd83723391f55e08cb8a910,,404_not_found,networknt/light-router,8f20d9896ae73c7fbdd83723391f55e08cb8a910,https://github.com/networknt/light-router/commit/8f20d9896ae73c7fbdd83723391f55e08cb8a910
CVE-2017-2670,io.undertow:undertow-core,com.networknt:light-proxy,networknt/light-proxy,https://github.com/networknt/light-proxy/commit/6388297c7bdcd800ee6608e50585f182869ad3fe,,404_not_found,networknt/light-proxy,6388297c7bdcd800ee6608e50585f182869ad3fe,https://github.com/networknt/light-proxy/commit/6388297c7bdcd800ee6608e50585f182869ad3fe
CVE-2013-4366,org.apache.httpcomponents:httpclient,com.salesforce.argus:argus-core,salesforce/Argus,https://github.com/salesforce/Argus/commit/307b2106b3b0420590a6be996a205cede68cade4,,404_not_found,salesforce/Argus,307b2106b3b0420590a6be996a205cede68cade4,https://github.com/salesforce/Argus/commit/307b2106b3b0420590a6be996a205cede68cade4
CVE-2015-5262,org.apache.httpcomponents:httpclient,de.unibonn.iai.eis:luzzu-communications,EIS-Bonn/Luzzu,https://github.com/EIS-Bonn/Luzzu/commit/b43bc0e64590b2fba154a6bb256fb5ea1b6b35a0,,404_not_found,EIS-Bonn/Luzzu,b43bc0e64590b2fba154a6bb256fb5ea1b6b35a0,https://github.com/EIS-Bonn/Luzzu/commit/b43bc0e64590b2fba154a6bb256fb5ea1b6b35a0
CVE-2015-5262,org.apache.httpcomponents:httpclient,de.unibonn.iai.eis:luzzu-communications,EIS-Bonn/Luzzu,https://github.com/EIS-Bonn/Luzzu/commit/b43bc0e64590b2fba154a6bb256fb5ea1b6b35a0,,404_not_found,EIS-Bonn/Luzzu,b43bc0e64590b2fba154a6bb256fb5ea1b6b35a0,https://github.com/EIS-Bonn/Luzzu/commit/b43bc0e64590b2fba154a6bb256fb5ea1b6b35a0
